# label: %name%
# style: shape=%shape%;fillColor=%fill%;strokeColor=%stroke%;
# namespace: csvimport-
# width: auto
# height: auto
# padding: 15
# ignore: id,shape,fill,stroke,refs
# nodespacing: 40
# levelspacing: 100
# edgespacing: 40
# layout: auto
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasvalue", "label": "sio:has value" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "foaf_type", "label": "foaf:type" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasendtime", "label": "sio:has end time" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasrole", "label": "sio:has role" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasinput", "label": "sio:has input" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasoutput", "label": "sio:has output" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasstarttime", "label": "sio:has start time" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_isrealizedin", "label": "sio:is realized in" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_denotes", "label": "sio:denotes" }
id,name,fill,stroke,shape,sio_hasvalue,foaf_type,sio_hasendtime,sio_hasrole,sio_hasinput,sio_hasoutput,sio_hasstarttime,sio_isrealizedin,sio_denotes
http://semanticscience.org/resource/SIO_000498,sio:person,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Entity","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000002_20220315095719276453_Disability_Role,Role: Patient,#FFE6CC,#000000,rhombus,"NA","NA","NA","http://example.org/data/uid_000002_20220315095719276453_Entity","NA","NA","NA","NA","http://example.org/data/uid_000002_20220315095719276453_ID"
http://purl.obolibrary.org/obo/NCIT_C107391,obo:Edmonton Symptom Assessment System,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Process","NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000015,sio:information content entity,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Input,http://example.org/data/uid_000002_20220315095719276453_Disability_Output","NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000016,sio:role,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Role","NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000032,sio:end date,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Enddate","NA","NA","NA","NA","NA","NA","NA"
http://purl.obolibrary.org/obo/OBI_0000093,obo:patient role,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Role","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000002_20220315095719276453_ID,uid_000002_20220315095719276453_ID,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
uid_000002,uid_000002,#DAE8FC,#000000,ellipse,"http://example.org/data/uid_000002_20220315095719276453_ID","NA","NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000031,sio:start date,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Startdate","NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000115,sio:identifier,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_ID","NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000006,sio:process,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Process","NA","NA","NA","NA","NA","NA","NA"
